date,currency,rate_to_usd
2018-01-09,CZK,0.04796174
2018-01-10,CZK,0.04796151
2018-01-11,CZK,0.04796401
2018-01-16,CZK,0.04796245
2018-01-17,CZK,0.04796153
2018-01-23,CZK,0.04796146
2018-01-29,CZK,0.04796157
2018-01-31,CZK,0.04796161
2018-02-06,CZK,0.04875687
2018-02-12,CZK,0.04875743
2018-02-15,CZK,0.04875627
2018-02-19,CZK,0.04875554
2018-02-26,CZK,0.04875691
2018-02-27,CZK,0.04875661
2018-03-01,CZK,0.04852045
2018-03-09,CZK,0.04852089
2018-03-12,CZK,0.04852051
2018-03-13,CZK,0.04852052
2018-03-14,CZK,0.04852097
2018-03-19,CZK,0.04852034
2018-03-20,CZK,0.04852105
2018-03-22,CZK,0.04851997
2018-03-27,CZK,0.04852024
2018-03-29,CZK,0.0485213
2018-04-03,CZK,0.04837934
2018-04-09,CZK,0.04837932
2018-04-10,CZK,0.04837958
2018-04-11,CZK,0.04837924
2018-04-16,CZK,0.04837922
2018-04-17,CZK,0.04837931
2018-04-18,CZK,0.04837921
2018-04-20,CZK,0.04837382
2018-04-23,CZK,0.04837967
2018-04-25,CZK,0.04837911
2018-04-26,CZK,0.04837916
2018-04-27,CZK,0.04837887
2018-04-30,CZK,0.04837932
2018-05-02,CZK,0.04612538
2018-05-09,CZK,0.04612544
2018-05-14,CZK,0.04612948
2018-05-15,CZK,0.04612503
2018-05-16,CZK,0.04612517
2018-05-23,CZK,0.04612542
2018-05-28,CZK,0.04612541
2018-05-30,CZK,0.04612554
2018-06-04,CZK,0.04526943
2018-06-05,CZK,0.04526886
2018-06-06,CZK,0.04526954
2018-06-15,CZK,0.0452696
2018-06-19,CZK,0.0452696
2018-06-20,CZK,0.04526944
2018-06-25,CZK,0.04526906
2018-06-26,CZK,0.04526928
2018-06-27,CZK,0.04526857
2018-07-02,CZK,0.04524826
2018-07-03,CZK,0.04524809
2018-07-09,CZK,0.04524849
2018-07-10,CZK,0.04524874
2018-07-16,CZK,0.04524879
2018-07-17,CZK,0.04524897
2018-07-23,CZK,0.04524917
2018-07-24,CZK,0.04524864
2018-07-31,CZK,0.04524889
2018-08-01,CZK,0.04492392
2018-08-02,CZK,0.04492387
2018-08-07,CZK,0.04492369
2018-08-08,CZK,0.04492375
2018-08-23,CZK,0.0449236
2018-08-28,CZK,0.04492369
2018-08-29,CZK,0.04492349
2018-09-03,CZK,0.04545453
2018-09-11,CZK,0.0454541
2018-09-12,CZK,0.04545477
2018-09-24,CZK,0.04545466
2018-09-26,CZK,0.04545481
2018-09-27,CZK,0.04545485
2018-10-09,CZK,0.04448448
2018-10-10,CZK,0.04448375
2018-10-16,CZK,0.04448419
2018-10-17,CZK,0.04448328
2018-10-22,CZK,0.04448356
2018-10-23,CZK,0.04448423
2018-10-25,CZK,0.04448415
2018-10-30,CZK,0.04448399
2018-11-06,CZK,0.04384046
2018-11-07,CZK,0.04383997
2018-11-12,CZK,0.04384035
2018-11-13,CZK,0.04384072
2018-11-19,CZK,0.04384067
2018-11-20,CZK,0.04384058
2018-11-22,CZK,0.04384001
2018-11-26,CZK,0.04384031
2018-11-30,CZK,0.04384055
2018-12-03,CZK,0.04403398
2018-12-04,CZK,0.0440334
2018-12-05,CZK,0.04403365
2018-12-10,CZK,0.04403349
2018-12-11,CZK,0.04403329
2018-12-17,CZK,0.04403351
2019-01-21,CZK,0.04456277
2019-01-22,CZK,0.04456329
2019-01-23,CZK,0.04456332
2019-01-24,CZK,0.04456313
2019-01-28,CZK,0.04456326
2019-01-30,CZK,0.04456331
2019-01-31,CZK,0.04456342
2019-02-05,CZK,0.04415107
2019-02-06,CZK,0.04414969
2019-02-12,CZK,0.04415054
2019-02-13,CZK,0.04414909
2019-02-25,CZK,0.04415008
2019-02-26,CZK,0.04415007
2019-03-04,CZK,0.04399471
2019-03-07,CZK,0.04399454
2019-03-08,CZK,0.04399377
2019-03-12,CZK,0.04399475
2019-03-13,CZK,0.0439946
2019-03-19,CZK,0.04399434
2019-03-25,CZK,0.04399514
2019-03-26,CZK,0.04399474
2019-04-02,CZK,0.04376365
2019-04-09,CZK,0.04376345
2019-04-10,CZK,0.04376375
2019-04-11,CZK,0.0437634
2019-04-12,CZK,0.04376388
2019-04-16,CZK,0.04376395
2019-04-24,CZK,0.04376348
2019-04-29,CZK,0.04376368
2019-05-06,CZK,0.04344065
2019-05-07,CZK,0.04344023
2019-05-09,CZK,0.04344049
2019-05-20,CZK,0.0434407
2019-05-21,CZK,0.04344047
2019-05-22,CZK,0.04344055
2019-06-04,CZK,0.0441502
2019-06-05,CZK,0.04415049
2019-06-06,CZK,0.04415077
2019-06-10,CZK,0.04415006
2019-06-11,CZK,0.04414969
